,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,1,1.6014805793554627,1.7121932954728838,1.5697762760109437,1.4645851999742328,1.4631423712886287,1.461422763596417,1.4668038628110682,1.4703311277882984,1.4686017708703687,1.4654828102275481,1.4584662531915604,1.4774498117443164,1.4668825938440153,1.4601943929656005,1.4582979226068122,1.4531774501757677,1.464816423081103,1.4449468350108106,1.4504877094545725,1.4477420974154533
1,0.2,0.2,1,2.129600313580236,2.151164765751933,2.0564384845673644,1.9310893679964796,1.9282666054700126,1.904365881123455,1.9066596689365702,1.9085646921573718,1.9094432761546012,1.909246611626876,1.9064924487980028,1.9077416709157948,1.9138727271012457,1.9109392003020187,1.938295365517647,1.8733414792449874,1.9231126744291975,1.8711389859706031,1.9190953646631939,1.9064491880320389
2,0.3,0.2,1,2.5070561407852803,2.458622411875275,2.3918365853693,2.2013428335523018,2.1977539870846114,2.174553012601035,2.174743535934694,2.1717700589538027,2.169924138610621,2.171801975571824,2.178683115015598,2.169933755569219,2.1995538041042777,2.182505982966464,2.2013817044084503,2.160486733010781,2.1533012995511354,2.1821417810503436,2.1755565380874287,2.1793458369831207
3,0.4,0.2,1,2.7684248481815827,2.5900289937235126,2.5897273564546706,2.3349749489788874,2.320444759683963,2.303190477390191,2.2812701279786176,2.2816607678905396,2.280353047627528,2.28291085582163,2.303178104251454,2.287928304704244,2.311281559535585,2.292252367357777,2.320063385727859,2.29150014932476,2.2655932995391774,2.2910637971807346,2.2845191753442915,2.2572446250952374
