,knn,cart,rf,Ave,invW-0,invW-0.1,invW-1,invW-inf,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.3333333333333333,0.3325327077027162,0.33253270481220515,0.3325326787977512,0.32735984158501796,0.22462545,0.15632679,0.23476306,0.2347298
1,0.0,1.0,0.0,0.3333333333333333,0.3360664401483216,0.3360664467478948,0.3360665061437196,0.3477917177256249,0.5631171,0.8022941,0.5568015,0.5567439
2,0.0,0.0,1.0,0.3333333333333333,0.3314008521489622,0.33140084843990003,0.33140081505852925,0.32484844068935714,0.21225749,0.04137912,0.2084355,0.2085263
