,knn,cart_date,rf,Ave,Insample,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.3333333333333333,0.33533044331053335,0.14036955,0.0522,0.0721,0.1237
1,0.0,1.0,0.0,0.3333333333333333,0.32920109225624683,0.48283347,0.8602,0.4851,0.4857
2,0.0,0.0,1.0,0.3333333333333333,0.3354684644332198,0.37679693,0.0876,0.4429,0.3906
