,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1,invW-0,invW-0.1,invW-1,invW-inf
0,0.1,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.857949445828382,3.779587617770885,3.798364008538018,3.8137370598260354,3.811109586416008,3.80331040917608,3.794095940244296,3.828716347420076,3.8744877393304296,3.795181967254341,3.833388040990208,3.852645421095029,3.858153478505397,3.835075101789309,3.808171115864335,3.81464776894966,,,,
1,0.2,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.851607365724655,3.7940722353172514,3.798364008538018,3.799486863228257,3.7981876514687167,3.8058294501168097,3.791895424203252,3.7869911675567343,3.789935161259564,3.796935917103915,3.8458830883212607,3.790853053009186,3.8272949511590695,3.7873863957582894,3.8132031742728447,3.801562829625634,,,,
2,0.3,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.8475639530468286,3.812969928931608,3.798364008538018,3.811298680959207,3.7918990114103135,3.808823048275341,3.79843865133614,3.793252543002798,3.840903930234893,3.825380959833455,3.8159511841643776,3.789656348951316,3.781726954078804,3.809588862717917,3.7962574003121374,3.798141647268944,,,,
3,0.4,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.8435962828015895,3.8272957465485353,3.798364008538018,3.787040364108497,3.7879581665114346,3.7969785818224087,3.824931755145151,3.797746511041998,3.851004434980259,3.80771254238381,3.837148051906255,3.797024044074024,3.772055103840712,3.807206803844397,3.787183039668339,3.7677177783800433,,,,
4,0.5,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.8402838834982966,3.836488392006785,3.798364008538018,3.781901155795961,3.781758293000073,3.781688740586015,3.8082384749781295,3.754754345226713,3.835470722739952,3.801740523855622,3.818957268234741,3.783537532283753,3.811154608428122,3.7726164357090175,3.796144700233839,3.779048118542488,,,,
5,0.6,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.8378155303890176,3.835572211711328,3.798364008538018,3.795382313161512,3.7979801531111432,3.784702643452893,3.817340381881269,3.784943793877707,3.804885074325171,3.761469337273197,3.800174109516768,3.78940966521929,3.805962235261124,3.790541942286066,3.7982541852267215,3.78497928386491,,,,
6,0.7,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.8343093305027818,3.827342623430188,3.798364008538018,3.7976362651963016,3.79178246769295,3.791969563336813,3.8147601026158258,3.799777851607761,3.795724861144868,3.803311717130048,3.890578539394643,3.790731987365196,3.804977176542746,3.805630186459577,3.8049363769616726,3.776560077309395,,,,
7,0.8,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.830434559211803,3.839697213009045,3.798364008538018,3.800872747373496,3.800793424807524,3.809832477902,3.8005166279058944,3.769235562128512,3.847791343717418,3.898659842452141,3.811045212306373,3.7918440160277527,3.792408440799008,3.8726637247448696,3.819318782483927,3.80076918107108,,,,
8,0.9,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.828194849094001,3.861183290539802,3.798364008538018,3.887746285055666,3.8845647360932825,3.843896165281092,3.80092136305806,3.769791885023735,3.920921513865903,3.978598319775601,3.876642802251636,3.8192174923758446,3.894503881765889,3.918300176500855,3.8209297706072025,3.787039739418869,,,,
9,0.1,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.85794944582861,3.779587614181746,3.800536900307936,3.8147631435590745,3.797641034234441,3.796080610943271,,,,,,,,,,,,,,
10,0.2,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.851607365724572,3.79407224732307,3.800536900307936,3.815774732308368,3.798585764633055,3.796142945229664,,,,,,,,,,,,,,
11,0.3,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.847563953046419,3.8129663020700906,3.800536900307936,3.7904326650497184,3.7970112261431694,3.795930710066032,,,,,,,,,,,,,,
12,0.4,0.2,1,4.732625419946205,4.269278020278517,4.262528252873012,3.865278120624951,3.843596282801552,3.827295673358613,3.800536900307936,3.790841212450217,3.792856040477349,3.795994293464856,,,,,,,,,,,,,,
13,0.1,0.2,1,4.7326254199462054,4.269278020278517,4.262528252873012,3.865278120624951,,3.779587614181746,3.797866599452896,3.8147631435590745,3.797641034234441,3.7960806109432705,3.8233547794821345,3.7977925349834676,3.8182934777601716,3.8129811477137605,3.8105899605715705,3.8036154587774993,3.819421958305094,3.7787674810889107,3.8233942941932963,3.772197019382818,3.85794944582861,3.8542499834403547,3.8453658233361767,3.840806173541314
