,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,invW-0,invW-0.1,invW-1,invW-inf,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.607794817725526,4.52927194077798,4.593837805151373,4.524876383374564,4.593334922702653,4.5938245962716415,,,,,,,,,,,,,,
1,0.1,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.607794817725526,4.52927194077798,4.593837805151373,4.524876383374564,4.593334922702653,4.5938245962716415,,,,,,,,,,,,,,
2,0.2,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.590459574237513,4.527799598314999,4.593837805151373,4.534434076653623,4.591627545953021,4.593758248438841,,,,,,,,,,,,,,
3,0.3,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.580340078075705,4.545630076277921,4.593837805151373,4.542829944495203,4.594235227158157,4.593894241099234,,,,,,,,,,,,,,
4,0.4,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.574030975298986,4.564137764626619,4.593837805151373,4.529625775232878,4.593383439195639,4.59384416516447,,,,,,,,,,,,,,
5,0.5,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.569807834267646,4.589637697833867,4.593837805151373,4.530220653142091,4.590715765665662,4.593701660141491,,,,,,,,,,,,,,
6,0.6,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.567054198758445,4.627455255178038,4.593837805151373,4.540384068202886,4.594980341367065,4.593999380447665,,,,,,,,,,,,,,
7,0.7,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.565987530685963,4.614317987057963,4.593837805151373,4.594669310958226,4.594525079633003,4.59392113600276,,,,,,,,,,,,,,
8,0.8,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.564279949805126,4.614317928295763,4.593837805151373,4.648003829038894,4.594397859777949,4.593914179179642,,,,,,,,,,,,,,
9,0.9,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,4.564296978747699,4.578376402746676,4.593837805151373,4.731291104999138,4.58775553065878,4.593752177486735,,,,,,,,,,,,,,
10,0.1,0.2,2,5.412199578259515,5.075082459693961,5.048706620376266,4.595806921625142,,4.52927194077798,4.525611516098748,4.524876383374564,4.593334922702653,4.5938245962716415,4.607794817725526,4.601839719400976,4.587407576067594,4.579950131116478,4.427061214678343,4.425133325957728,4.828813856232115,4.734024360011939,4.53347301914547,4.5015336287950625,4.425320199532719,4.433133272207979,4.42587990024102,4.44077246532624
