,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,invW-0,invW-0.1,invW-1,invW-inf,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,2,2.04719781,2.219950694,2.01405187,1.817103353,,1.791142256,1.785455046,1.785096478,1.814051952,1.814849613,1.8181729,1.81664994,1.813427651,1.812655135,1.799841863,1.794708093,2.063669876,1.98539312,1.787280469,1.77697692,1.795296272,1.789178424,1.796099908,1.790520329
1,0.2,0.2,2,2.6632079901306414,2.6527452232723334,2.5779184698944366,2.2821164229820368,,2.265226561887584,2.266231362436743,2.2469539953887714,2.2781079588798048,2.2806699660158696,2.279222573248444,2.2782401308900524,2.275364560607186,2.273566050823364,2.259153456970143,2.25100992994196,2.4736875352905106,2.434955898631032,2.23648168054998,2.229309265702484,2.2589093600190204,2.245579857403853,2.257267705563936,2.248991249505227
2,0.3,0.2,2,3.0575986420088372,2.8974381128128788,2.9528445055775827,2.5522396798904476,,2.6137986762908287,2.583018648591157,2.537603496893138,2.55198205346929,2.5518030980293114,2.5416227538173928,2.5415899770145756,2.5414646400838063,2.5413838775901496,2.535524229526537,2.5236804807037028,2.6718477509029226,2.682377007695262,2.533213122733385,2.5176385885993557,2.5360637906908527,2.515992604024564,2.534026335970271,2.514955034692893
3,0.4,0.2,2,3.2584084818526047,2.980316095450284,3.122875539164088,2.7128743455045634,,2.7788096749996116,2.7276277614391193,2.6921915903754376,2.711964616004832,2.7122104847155173,2.6986385481614703,2.699139525328107,2.7015551864643794,2.703559817479752,2.6607088386772157,2.6608047714040404,2.703495835970862,2.7116327019673787,2.671900802693246,2.7001371850535323,2.6572897468513696,2.6678599213729126,2.6574938090616333,2.6638042336919807
4,0.5,0.2,2,3.314566732797701,2.932383456234248,3.1409037466745144,2.758397896397367,,2.8042367510911217,2.758095297177196,2.736798767699886,2.757346673456592,2.7583276296875816,2.7391808429625466,2.7399677017232267,2.7424464476673984,2.744440585227434,2.6616578181737895,2.6680297173068643,2.6696561922590125,2.690283750337403,2.6694864865477905,2.681407705906872,2.662010338188199,2.675257219901097,2.6606368608391726,2.67891791477323
