,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1,invW-0,invW-0.1,invW-1,invW-inf
0,0.1,0.2,1.0,1.601480579,1.712193295,1.569776276,1.4645852,,1.461421135,1.466366547,1.470743448,1.465242204,1.464888946,1.474763027,1.461147614,1.465221485,1.470662022,1.458280897,1.430921565,1.473227143,1.45335994,1.474777513,1.452971471,1.463142371,1.46193551,1.459284709,1.458020724
1,0.2,0.2,1.0,2.129600314,2.151164766,2.056438485,1.931089368,,1.9043659,1.906192521,1.91483086,1.90505471,1.903987629,1.920733788,1.904018221,1.923870991,1.911834272,1.918075227,1.933187362,1.920732499,1.886148022,1.92072685,1.890008376,1.928266605,1.927747124,1.927204767,1.927011403
2,0.3,0.2,1.0,2.507056141,2.458622412,2.391836585,2.201342834,,2.17455165,2.174339413,2.175084594,2.174368676,2.174414935,2.181682225,2.166110829,2.203245325,2.183073756,2.181069051,2.169232094,2.181486612,2.145779132,2.181638143,2.149496936,2.197753987,2.197556481,2.196373065,2.195887268
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.4,0.2,1.0,2.768424848178514,2.59002899373039,2.5897273564397154,2.334974948948153,,2.3031904101491283,2.281092001888403,2.28149055000621,2.278233887965596,2.2811255911263326,2.2992591460830534,2.2800107241197907,2.331554856929193,2.2871826075856583,2.29415583323953,2.2571083378171317,2.2957932411739743,2.2610954127168323,2.2992134067088297,2.2625602213053724,2.320444759664185,2.320051614693632,2.3191039884386306,2.318498487797383
5,0.5,0.2,1.0,2.871112235396268,2.5986908198704013,2.661120565169457,2.3241214956209233,,2.331932239784313,2.287980620008063,2.254625398033318,2.2784289945795955,2.2821536833202867,2.309045704355316,2.286948163815354,2.350937550449285,2.333809356976903,2.281227533105635,2.2408524257756155,2.3093852639616372,2.2380890117533294,2.308372714936254,2.263662584742012,2.299212250850181,2.2991808687449504,2.299009963989451,2.2988420343096436
