,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1,invW-0,invW-0.1,invW-1,invW-inf
0,0.1,0.2,3,5.022416498,5.218693887,4.290179203,4.235219169,,4.14076542,4.199433037,4.137206276,4.179523038,4.17824816,4.186724174,4.175043247,4.491254332,4.433800022,4.250507014,4.235297038,4.187868728,4.192383072,4.187429469,4.142056099,4.224883867,4.224312426,4.223342388,4.223117265
1,0.2,0.2,3,5.022416498,5.218693887,4.290179203,4.235219169,,4.178302203,4.199433037,4.166789999,4.179873035,4.178364805,4.186724174,4.175043247,4.395382232,4.326053691,4.228123112,4.203537154,4.18334173,4.137884278,4.186559642,4.132679322,4.226052138,4.225454553,4.223920689,4.223117265
2,0.3,0.2,3,5.022416498,5.218693887,4.290179203,4.235219169,,4.20751043,4.199433037,4.150482691,4.176931854,4.177852902,4.186724174,4.175043247,4.389311822,4.299730555,4.222349436,4.146486805,4.179936522,4.137028461,4.187325084,4.162377044,4.225116112,4.224801245,4.223813102,4.223117265
