,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.3333333333333333,0.29839548172794045,4.042712338640659e-10,4.4171571815960796e-11,0.122970715,0.12186483,0.117018476
1,0.0,1.0,0.0,0.3333333333333333,0.35152034039129293,0.5263157880359656,0.43851682610335285,0.39139593,0.39050204,0.39198294
2,0.0,0.0,1.0,0.3333333333333333,0.3500841778807667,0.4736842111653043,0.5614831738524815,0.4856334,0.48763317,0.49099854
