,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,invW-0,invW-0.1,invW-1,invW-inf,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,2,2.04719780965183,2.2199506937366484,2.0140518703831725,1.8171033532631176,1.8181729000275515,1.79114225636927,1.8145415098821795,1.7850964784405097,1.814051951760757,1.814849612541502,,,,,,,,,,,,,,
1,0.1,0.2,2,2.04719780965183,2.2199506937366484,2.0140518703831725,1.8171033532631176,1.8181729000275515,1.79114225636927,1.8145415098821795,1.7850964784405097,1.814051951760757,1.814849612541502,,,,,,,,,,,,,,
2,0.2,0.2,2,2.6632079901306414,2.6527452232723334,2.5779184698944366,2.2821164229820368,2.279222573248444,2.265226561887584,2.28040844216857,2.2469539953887714,2.2781079588798048,2.2806699660158696,,,,,,,,,,,,,,
3,0.3,0.2,2,3.057598642008837,2.8974381128128788,2.9528445055775827,2.552239679890448,2.5416227538173928,2.6137986762908287,2.5519189162839657,2.537603496893138,2.55198205346929,2.5518030980293114,,,,,,,,,,,,,,
4,0.4,0.2,2,3.2584084818526047,2.980316095450284,3.122875539164088,2.7128743455045634,2.6986385481614703,2.778809674999612,2.712398504645112,2.6921915903754376,2.711964616004832,2.7122104847155173,,,,,,,,,,,,,,
5,0.5,0.2,2,3.314566732797701,2.932383456234248,3.1409037466745144,2.758397896397367,2.7391808429625466,2.8042367510911217,2.758454452735875,2.736798767699886,2.757346673456592,2.7583276296875816,,,,,,,,,,,,,,
6,0.6,0.2,2,3.233413848831431,2.809505002990435,3.0080200558878056,2.696460924530447,2.685847936846792,2.707750768405073,2.6964111572684466,2.662658834768738,2.69654899834332,2.6964007290916827,,,,,,,,,,,,,,
7,0.7,0.2,2,3.007347599634038,2.584989030987408,2.7320077272258576,2.511573381979718,2.4966225651109077,2.462314424415061,2.5118250888246285,2.46299307355001,2.511698363611357,2.5115803252949336,,,,,,,,,,,,,,
8,0.8,0.2,2,2.6291752022984656,2.219292172320171,2.3349156536874247,2.1842280661949216,2.165656226235664,2.092778631422437,2.183614345958902,2.1005030938961813,2.183660980049782,2.183523139070397,,,,,,,,,,,,,,
9,0.9,0.2,2,2.0481477430263118,1.735802463694757,1.7872394055912637,1.723911297339488,1.6987617391394538,1.617052236726153,1.7201225763456427,1.6246145601417672,1.7021686697715046,1.7200474207244636,,,,,,,,,,,,,,
10,0.1,0.2,2,2.0471978096518306,2.2199506937366484,2.0140518703831725,1.8171033532631176,,1.79114225636927,1.7854550463780476,1.7850964784405097,1.814051951760757,1.814849612541502,1.8181729000275513,1.816649940393645,1.8134276513120786,1.8126551349557978,1.7998418626224109,1.7947080926961518,2.0636698756425003,1.985393120372443,1.7872804686588688,1.7769769200396641,1.7952962715508336,1.789178423816499,1.7960999078616369,1.7905203287001328
