,knn,cart_date,rf,Ave,invW-0,invW-0.1,invW-1,invW-inf,SalvaBench,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.3333333333333333,0.29369652317886513,0.29652843081375724,0.30471453833932843,0.3099329644856212,1.2437246517768794e-07,0.033303954,0.095646076,0.32416168,0.32220858
1,0.0,1.0,0.0,0.3333333333333333,0.3744170577272762,0.37020092103331853,0.35826889499610987,0.35086035036276464,0.6999999707767423,0.5446517,0.7369605,0.33234093,0.33242825
2,0.0,0.0,1.0,0.3333333333333333,0.3318864190938587,0.3332706481529243,0.33701656666456165,0.33920668515161406,0.29999990477668115,0.4220444,0.16739348,0.34349734,0.34536314
