,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,invW-0,invW-0.1,invW-1,invW-inf,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,2,2.04719781,2.219950694,2.01405187,1.817103353,,1.791142256,1.782630836,1.786797803,1.781959123,1.783356242,1.8181729,1.81664994,1.813427651,1.812655135,1.799841863,1.794708095,2.063669876,1.985393083,1.787280469,1.776976919,1.795296273,1.789178423,1.796099907,1.79052033
1,0.2,0.2,2,2.66320799,2.652745223,2.57791847,2.282116423,,2.265223332,2.262917417,2.250843693,2.258147007,2.260109347,2.279222573,2.278240131,2.275364561,2.273566051,2.259153457,2.25100993,2.473687535,2.434956091,2.236481681,2.22930927,2.25890936,2.245579856,2.257267759,2.248991246
2,0.3,0.2,2,3.057598642,2.897438113,2.952844506,2.55223968,,2.613798678,2.57790832,2.537377132,2.570284812,2.574966854,2.541622754,2.541589977,2.54146464,2.541383878,2.535524229,2.523680517,2.671847751,2.682377459,2.533213092,2.51763862,2.536063788,2.515992597,2.534026336,2.514955051
3,0.4,0.2,2,3.258408482,2.980316095,3.122875539,2.712874346,,2.778809675,2.723301088,2.693871835,2.713100746,2.720151162,2.698638548,2.699139525,2.701555186,2.703559818,2.660708839,2.660804903,2.703495864,2.711632551,2.671900803,2.700137184,2.657289747,2.667860128,2.657493811,2.663804237
4,0.5,0.2,2,3.314566733,2.932383456,3.140903747,2.758397896,,2.80423675,2.75422389,2.734232333,2.746689822,2.751360371,2.739180843,2.739967702,2.742446448,2.744440585,2.661657818,2.668029728,2.669656192,2.690283682,2.669486487,2.681407706,2.662010338,2.675257217,2.660636863,2.678918824
5,0.6,0.2,2,3.233413849,2.809505003,3.008020056,2.696460925,,2.707750778,2.659665897,2.662356659,2.656736589,2.656970715,2.685847937,2.687253549,2.688995928,2.689480072,2.565290091,2.568671929,2.559968998,2.558755799,2.557195897,2.592279439,2.567579982,2.588416381,2.5651467,2.585963962
6,0.7,0.2,2,3.0073476,2.584989031,2.732007727,2.511573382,,2.462314429,2.458169971,2.449314824,2.450115945,2.452254409,2.496622565,2.498156539,2.502586037,2.505189642,2.330064294,2.34371321,2.357675235,2.349502404,2.342888356,2.329278144,2.333432089,2.377230346,2.331164797,2.376090411
7,0.8,0.2,2,2.629175202,2.219292172,2.334915654,2.184228066,,2.092777312,2.126780954,2.098314636,2.122272966,2.126053204,2.165656226,2.167406589,2.173310508,2.176898118,2.018869932,2.023733429,2.049137189,2.032335292,2.013082543,2.009297964,2.01467983,2.039824162,2.018053686,2.036732247
8,0.9,0.2,2,2.048147743,1.735802464,1.787239406,1.723911297,,1.617053222,1.630232061,1.611952201,1.626946621,1.628447633,1.698761739,1.701176148,1.706874392,1.710229272,1.519792247,1.524515911,1.729767095,1.727641402,1.532338984,1.514573444,1.518795108,1.546179303,1.519374584,1.542998557
