,Target,risk_aversion,knn,rf,clim,Ave,Insample,SalvaBench,CRPS,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP
0,Z1,0.5,[2.55 4.29 5.46 6.2  6.5  6.4  5.88 4.9  3.21],[2.5  4.2  5.38 6.14 6.47 6.37 5.85 4.87 3.18],[ 3.06  5.86  8.24 10.13 11.44 12.02 11.67  9.85  6.1 ],[2.81 4.81 5.96 6.56 6.8  6.67 6.14 5.19 3.59],[2.66 4.35 5.5  6.22 6.54 6.43 5.92 4.95 3.29],[2.5  4.19 5.4  6.13 6.44 6.34 5.83 4.85 3.18],[2.52 4.21 5.4  6.14 6.47 6.36 5.84 4.88 3.2 ],[2.5  4.19 5.38 6.12 6.45 6.35 5.83 4.86 3.18],[2.58 4.25 5.43 6.17 6.49 6.38 5.87 4.91 3.23],[2.49 4.19 5.39 6.13 6.45 6.35 5.83 4.86 3.18],[2.5  4.19 5.4  6.13 6.45 6.35 5.83 4.86 3.18]
1,Z1,0.5,[2.55 4.29 5.46 6.2  6.5  6.4  5.88 4.9  3.21],[2.5  4.2  5.38 6.14 6.47 6.37 5.85 4.87 3.18],[ 3.06  5.86  8.24 10.13 11.44 12.02 11.67  9.85  6.1 ],[2.81 4.81 5.96 6.56 6.8  6.67 6.14 5.19 3.59],[2.66 4.35 5.5  6.22 6.54 6.43 5.92 4.95 3.29],[2.5  4.19 5.4  6.13 6.44 6.34 5.83 4.85 3.18],[2.52 4.21 5.4  6.14 6.47 6.36 5.84 4.88 3.2 ],[2.5  4.19 5.38 6.12 6.45 6.35 5.83 4.86 3.18],[2.58 4.25 5.43 6.17 6.49 6.38 5.87 4.91 3.23],[2.49 4.19 5.39 6.13 6.45 6.35 5.83 4.86 3.18],[2.5  4.19 5.4  6.13 6.45 6.35 5.83 4.86 3.18]
2,Z1,0.5,[2.55 4.29 5.46 6.2  6.5  6.4  5.88 4.9  3.21],[2.5  4.2  5.38 6.14 6.47 6.37 5.85 4.87 3.18],[ 3.06  5.86  8.24 10.13 11.44 12.02 11.67  9.85  6.1 ],[2.81 4.81 5.96 6.56 6.8  6.67 6.14 5.19 3.59],[2.66 4.35 5.5  6.22 6.54 6.43 5.92 4.95 3.29],[2.5  4.19 5.4  6.13 6.44 6.34 5.83 4.85 3.18],[2.52 4.21 5.4  6.14 6.47 6.36 5.84 4.88 3.2 ],[2.5  4.19 5.38 6.12 6.45 6.35 5.83 4.86 3.18],[2.58 4.25 5.43 6.17 6.49 6.38 5.87 4.91 3.23],[2.49 4.19 5.39 6.13 6.45 6.35 5.83 4.86 3.18],[2.5  4.19 5.4  6.13 6.45 6.35 5.83 4.86 3.18]
