,Target,risk_aversion,knn,cart,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,Z1,0.5,[2.55 4.29 5.46 6.2  6.5  6.4  5.88 4.9  3.21],[2.58 4.3  5.57 6.38 6.73 6.65 6.09 5.03 3.26],[2.5  4.21 5.39 6.13 6.47 6.38 5.86 4.87 3.18],[2.49 4.18 5.36 6.14 6.45 6.37 5.83 4.83 3.15],[2.49 4.18 5.36 6.14 6.45 6.36 5.83 4.83 3.14],[2.5  4.19 5.38 6.12 6.44 6.35 5.83 4.85 3.17],[2.49 4.18 5.37 6.12 6.44 6.34 5.83 4.84 3.16],[2.49 4.18 5.36 6.12 6.44 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.44 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.44 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.44 6.35 5.83 4.84 3.15],[2.49 4.18 5.36 6.12 6.43 6.34 5.82 4.84 3.15],[2.49 4.19 5.37 6.12 6.44 6.35 5.83 4.85 3.16],[2.49 4.18 5.36 6.12 6.43 6.34 5.83 4.84 3.15],[2.49 4.18 5.37 6.12 6.44 6.35 5.83 4.84 3.16],[2.49 4.17 5.36 6.12 6.43 6.34 5.82 4.83 3.15],[2.49 4.18 5.37 6.12 6.44 6.35 5.83 4.84 3.15]
1,Z2,0.5,[2.57 3.89 4.82 5.42 5.7  5.67 5.24 4.38 2.91],[2.75 4.09 5.   5.63 5.91 5.83 5.37 4.48 3.02],[2.58 3.89 4.85 5.48 5.75 5.67 5.23 4.36 2.91],[2.57 3.88 4.81 5.41 5.7  5.62 5.19 4.32 2.88],[2.57 3.88 4.81 5.41 5.7  5.61 5.19 4.32 2.87],[2.56 3.87 4.8  5.41 5.69 5.63 5.19 4.34 2.89],[2.56 3.87 4.8  5.41 5.68 5.62 5.19 4.34 2.88],[2.55 3.86 4.8  5.41 5.68 5.62 5.19 4.34 2.89],[2.56 3.87 4.8  5.41 5.67 5.61 5.19 4.34 2.88],[2.56 3.87 4.8  5.41 5.68 5.61 5.19 4.34 2.88],[2.56 3.87 4.8  5.4  5.68 5.62 5.2  4.34 2.89],[2.56 3.87 4.8  5.4  5.66 5.59 5.17 4.32 2.86],[2.55 3.86 4.81 5.42 5.7  5.63 5.2  4.34 2.88],[2.56 3.87 4.8  5.41 5.67 5.61 5.19 4.34 2.88],[2.56 3.87 4.8  5.4  5.67 5.62 5.19 4.34 2.88],[2.55 3.86 4.79 5.4  5.67 5.62 5.19 4.34 2.88],[2.55 3.86 4.79 5.4  5.67 5.61 5.19 4.34 2.88],[2.55 3.86 4.8  5.4  5.68 5.64 5.22 4.35 2.89],[2.55 3.86 4.8  5.41 5.68 5.62 5.19 4.34 2.88],[2.55 3.86 4.8  5.41 5.68 5.62 5.2  4.34 2.89]
