,Quantile,risk_aversion,Target,knn,cart,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.9,0.5,Z1,9.135136183948061,9.36885239428768,9.037793485837929,9.004206967146335,9.002705154270199,9.00725257521478,8.998228497791045,8.996241191731002,8.996183758561294,8.994471996766682,8.990738172067154,8.993779318529063,8.99071169496114,8.999498846324846,8.994663161789674,8.997391004121337,8.995646560246406,8.990140897246057,8.99526948800269,8.990088382153383
1,0.9,0.5,Z2,8.212497699289157,8.519966603709829,8.235234647886994,8.166166649529142,8.16289655099879,8.157969354208982,8.155435754146053,8.1570241915938,8.156514944641463,8.156255470438126,8.15205210397404,8.153084485962133,8.148466270641276,8.213110122237993,8.14819178964224,8.15101298635985,8.151438857474211,8.146771323825563,8.148415682259044,8.140514650996787
2,0.9,0.5,Z3,8.452031062996408,8.52910485309969,8.322290674386876,8.262182335596288,8.261686685016148,8.261800309975284,8.261753874574346,8.255264271992395,8.255349814289534,8.257150039734062,8.266702841377885,8.277681576069718,8.312191047212417,8.33728166208787,8.261520815195158,8.268829829895779,8.265863959818349,8.266755053905554,8.271391172571766,8.266973750784576
3,0.9,0.5,Z4,8.522214122511155,8.931079094923659,8.52350570568106,8.519455724807361,8.516454286127956,8.480908735617588,8.478993774236201,8.482661485507718,8.477711446353114,8.475224524552402,8.503688535761555,8.500260663540693,8.498131783468807,8.491169577144932,8.498474347536387,8.497178295443407,8.509897047903227,8.509333964426496,8.500493895096323,8.500913668896246
