,Quantile,risk_aversion,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0.1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_1,DF_0,DF_1,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-MLP_1
0,0.2,0.5,Z1,9.536848145734703,9.036344445662662,9.671702038743074,11.895405644148155,12.069025353390344,3.6959175938007647,3.925320618673639,5.184863540554694,14.6849724699438,5.579460328035313,4.09869190108012,3.497745076283317,3.510568247518587,3.5258921869422823,3.469945237480243,3.485683945750126,3.4956212614474693,3.6146405648794144,3.476093264465839,,,,,,,
1,0.2,0.5,Z2,8.96742266895167,9.476685820980046,8.581433592333699,10.186776983629644,10.439156545427364,8.799343704250951,9.163169513965563,8.38884976659482,9.704428358286933,6.446852498826343,6.515818476700583,6.032954072945601,6.01286450891017,6.039112306908082,5.692297199259707,5.739947765178344,5.734731153142069,5.721736998474169,5.7099616877081445,6.025196801723659,6.134121654245024,5.759683818644737,5.533113314482764,5.799558777204584,5.52605314419458,5.568208826222422
2,0.2,0.5,Z3,7.575733045772323,9.708266058525416,10.67504524094685,11.349382337448406,11.837461338587502,8.682254239198334,9.071408158587085,7.43373348394141,10.952510776062995,7.326675081446766,7.196054624988695,6.562713022429914,6.761378994119551,7.25809864530722,6.498559311580307,6.1278266620152095,6.402746448420274,6.229702637378817,6.363828254965,7.261750991229684,6.594419746962962,6.379058706219889,6.109511721674539,6.366362387846395,6.023964668603588,6.119491635996348
3,0.2,0.5,Z4,8.72121023967734,7.883339980412217,10.111221578999308,6.103765655994027,6.293299120750059,9.033168347853165,9.28453762854448,8.74944926017235,10.865757281104813,5.836914206444109,5.488893498423898,4.655318317527284,4.733887779639087,4.8357786429074885,4.405717002851766,4.24735788591169,4.638214084199871,4.605161205162014,4.412113785878388,4.841206186925433,4.822813006909548,4.404845553457988,4.164281483333823,4.287729483855339,4.260485417264725,4.289225690459221
4,0.2,0.5,Z5,10.332203163315112,8.726521740074046,10.29658775376896,5.236733845097134,4.874607537799778,10.376728005333655,10.74549241976251,10.619869884370829,9.57917584732446,7.035074153668175,6.136712391196957,4.320908995357788,4.39419269865937,4.357836540188393,4.298645393149994,4.26808061774134,4.381117088125945,4.442379000432665,4.30400768197109,4.359561647523666,4.369002490389354,4.310818268016831,4.3718510007962745,4.279532614009512,4.257482866607515,4.303736410835447
5,0.2,0.5,Z6,10.00912724283426,8.870752791022912,9.951908106326592,5.702261565398816,5.0975936545957525,10.118370276674163,10.468621254553923,10.34929255970366,9.462658267228605,6.968877463441878,6.21234603474059,4.83333936714765,4.835561332528145,4.868636968003962,4.766062760973884,4.847974150913526,4.807232089830975,4.859364665454413,4.736687812603405,4.884896359933594,4.88995236332291,4.741569328347399,4.776629739230351,4.747201602731595,4.743752161042526,4.735226046274859
6,0.2,0.5,Z7,4.585485611878901,9.43556856755202,8.800536672009605,9.7205941693944,11.599563459173568,11.815765854671715,3.396567657340367,5.055727341972283,14.322329967185944,5.551325987279961,4.068008820310141,3.1663449626484983,3.1740764426189214,3.173070384393391,3.1787445491509665,3.159687495242278,3.2098177377107757,3.1784839497995745,3.205363011126348,3.192238518934859,3.17307418705632,3.2175374164889887,3.166748890471802,3.2091555141036925,3.184941982557517,3.167389497699279
7,0.2,0.5,Z8,5.628737684910366,10.16741428555521,9.616035044265816,10.85772641748591,12.65192760082692,12.858085379417176,4.201093941951828,5.9512488976923965,15.080048950994836,6.555606916277609,5.226596958352768,4.079681187924727,4.157423202658501,4.1278049097570415,4.102508688078422,4.085714083698287,4.115383850635407,4.0865146277785245,4.08491322445815,4.142685044914932,4.119358597919102,4.108740743536894,4.079421813859743,4.079381729061738,4.100156497119545,4.084312410562941
8,0.2,0.5,Z9,4.3374936524724985,8.997064775038274,6.865838107799062,9.668413538769512,11.79137387056933,12.029667545189684,5.323410100033195,5.436861062881872,13.76478996510464,5.441760457435111,4.517079047815652,3.8607135726184167,3.912191060873227,3.83775795854044,3.859434905239224,3.7500223093769582,3.774200228605842,3.765178562973433,3.845570953004491,3.829752139585671,3.881565731744284,3.840616480921169,3.7616769816112,3.8104396163511054,3.7612298132917,3.760374319814247
9,0.2,0.5,Z10,12.527827218709465,8.47757665631914,10.111212784625708,9.30567508879648,8.731176043848865,8.505611675373059,12.272927669653216,12.801117910552723,12.289535021079809,9.060090550651518,8.563296929372108,7.1566274588938,7.334709369889481,7.263826416328359,6.873497904335971,6.867952473437905,7.122320688361242,7.255568538188431,6.934944189752676,7.265739389946289,7.2242894048115085,6.934142733126716,6.93951588692026,6.932617997021529,6.941983360642645,6.739734186440238
10,0.2,0.5,Z1,9.536848145734705,9.036344445662662,9.671702038743074,11.895405644148155,12.069025353390348,3.6959175938007647,3.9253206186736387,5.184863540554696,14.684972469943801,5.579460328035314,4.098691901080133,3.4977445025437524,3.5145478479287284,3.510505550479543,3.476179887253478,3.4798522473088274,3.4829716927599677,3.565699190144466,3.480851830449505,3.511751375905824,3.498929103559498,3.482703121624896,3.4730826150121907,3.472654943034022,3.434895553101662,3.452932733428196
