,Quantile,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,SalvaBench,CRPS,DF_0.1,DF_0.5
0,0.1,Z1,6.5600000000000005,6.660000000000001,5.63,8.63,8.24,2.6,2.75,3.1199999999999997,9.91,2.52,2.34,2.39,2.58,2.32
0,0.2,Z1,9.02,9.139999999999999,8.52,11.17,11.28,3.93,4.2700000000000005,5.01,13.239999999999998,4.37,3.7600000000000002,3.75,3.9,3.81
0,0.3,Z1,10.42,10.57,10.43,12.8,12.83,4.91,5.26,6.43,14.979999999999999,5.92,4.73,4.6899999999999995,5.04,4.71
0,0.4,Z1,11.21,11.01,11.31,13.3,13.320000000000002,5.56,5.81,7.3,15.540000000000001,7.22,5.34,5.29,5.37,5.33
0,0.5,Z1,11.5,10.93,11.59,13.01,13.270000000000001,5.81,5.970000000000001,7.7700000000000005,15.129999999999999,8.1,5.58,5.54,5.57,5.53
0,0.6,Z1,11.39,10.37,11.31,12.25,12.55,5.75,5.71,7.7700000000000005,14.32,8.3,5.47,5.46,8.649999999999999,5.46
0,0.7,Z1,10.72,9.1,10.52,10.93,11.15,5.319999999999999,5.26,7.290000000000001,12.620000000000001,7.779999999999999,5.029999999999999,5.04,5.4,5.09
0,0.8,Z1,9.42,7.21,8.94,8.89,8.959999999999999,4.590000000000001,4.49,6.36,10.05,6.41,4.24,4.279999999999999,5.53,4.38
0,0.9,Z1,7.199999999999999,4.7,6.34,6.01,5.87,3.3000000000000003,3.19,4.61,6.4,4.109999999999999,2.9499999999999997,2.9000000000000004,3.74,2.88
