,Quantile,Iteration,Model-0,Model-1,Model-2,CC-Ave,BRC-Ave,CC-Juanmi,CC-Salva,CC-LR,CC-Diff,adaptCC-LR,adaptCC-MLP,CC-DT,BRC-DT
0,0.6,2,8.04,11.67,7.53,7.470000000000001,7.7299999999999995,7.539999999999999,7.39,7.470000000000001,7.359999999999999,7.32,7.359999999999999,21.21,21.21
0,0.6,3,11.37,10.620000000000001,11.020000000000001,9.41,9.049999999999999,9.55,9.39,9.41,9.36,9.34,9.35,19.66,19.66
0,0.6,4,10.870000000000001,13.52,12.049999999999999,10.040000000000001,10.03,10.290000000000001,10.15,10.16,9.9,9.85,9.98,25.69,25.69
0,0.7,0,12.78,11.81,11.59,9.93,10.48,10.81,10.25,10.190000000000001,10.07,10.12,9.879999999999999,29.970000000000002,29.970000000000002
0,0.7,1,12.31,12.559999999999999,12.09,11.17,10.97,11.73,11.4,11.41,11.129999999999999,11.200000000000001,11.05,28.38,28.38
0,0.7,2,8.14,11.450000000000001,9.68,8.57,8.24,7.969999999999999,7.86,7.9,7.85,7.9399999999999995,7.88,21.75,21.75
0,0.7,3,9.87,7.16,14.17,7.41,7.93,6.569999999999999,6.529999999999999,6.529999999999999,6.510000000000001,6.529999999999999,6.4799999999999995,30.14,30.14
0,0.7,4,11.17,10.4,9.66,9.09,8.559999999999999,9.39,9.2,9.21,9.01,9.54,9.08,22.93,22.93
0,0.8,0,16.23,11.110000000000001,10.79,9.08,10.99,8.89,8.82,8.66,8.67,8.88,8.74,36.24,36.24
0,0.8,1,6.510000000000001,13.62,13.270000000000001,7.380000000000001,9.26,6.510000000000001,6.38,6.35,6.11,6.15,6.1899999999999995,34.25,34.25
0,0.8,2,5.35,13.62,12.04,6.15,8.309999999999999,5.35,5.27,5.27,5.17,5.19,5.17,34.25,34.25
0,0.8,3,7.61,9.98,10.47,7.3,7.17,7.489999999999999,7.430000000000001,7.430000000000001,7.28,7.249999999999999,7.41,26.21,26.21
0,0.8,4,11.110000000000001,11.32,16.11,9.41,11.28,8.95,8.97,9.01,9.11,9.08,9.049999999999999,36.24,36.24
0,0.9,0,6.25,6.72,6.510000000000001,5.83,5.59,5.79,5.83,5.87,5.89,5.949999999999999,6.419999999999999,28.13,28.13
0,0.9,1,3.3000000000000003,3.2,4.61,2.91,2.96,3.19,2.9000000000000004,3.0,2.9000000000000004,2.92,2.8899999999999997,27.500000000000004,27.500000000000004
0,0.9,2,6.510000000000001,7.5200000000000005,6.01,5.55,5.4399999999999995,5.65,5.510000000000001,5.43,5.779999999999999,5.4399999999999995,5.65,28.13,28.13
0,0.9,3,4.3999999999999995,3.45,12.16,3.34,4.5600000000000005,3.45,3.2199999999999998,3.29,3.27,3.2199999999999998,3.2399999999999998,38.75,38.75
0,0.9,4,8.33,11.44,3.45,3.65,5.82,3.45,3.36,3.37,3.42,3.42,3.4000000000000004,38.75,38.75
