,knn,cart,rf,Ave,invW-0,invW-0.1,invW-1,invW-inf,CRPS,DF_0
0,1.0,0.0,0.0,0.3333333333333333,0.3308888093040989,0.3308887879387866,0.3308885956626168,0.32735984158501796,0.22462545,0.33161506
1,0.0,1.0,0.0,0.3333333333333333,0.3401274146883711,0.34012746123321347,0.3401278801113566,0.3477917177256249,0.5631171,0.3452497
2,0.0,0.0,1.0,0.3333333333333333,0.3289837760075299,0.32898375082799974,0.32898352422602667,0.32484844068935714,0.21225749,0.32313523
