,knn,cart,rf,Ave,Insample,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.3333333333333333,0.3306242741939657,0.2628069,0.32371187,0.26023516,0.27164787
1,0.0,1.0,0.0,0.3333333333333333,0.3450450938902478,0.50684875,0.3187596,0.5015896,0.50515467
2,0.0,0.0,1.0,0.3333333333333333,0.32433063191578665,0.23034431,0.3575285,0.23817524,0.22319737
