,knn,cart,cart_date,rf,Ave,Insample,CRPS,DF_0,DF_0.1,DF_1
0,1.0,0.0,0.0,0.0,0.25,0.25109415647461164,0.12378976494073868,0.24878688156604767,0.17036880552768707,0.12882214784622192
1,0.0,1.0,0.0,0.0,0.25,0.20546326668196882,0.09918585419654846,0.256440132856369,0.1681976318359375,0.10871006548404694
2,0.0,0.0,1.0,0.0,0.25,0.25052552619869406,0.5844085216522217,0.23388072848320007,0.4831326901912689,0.5922622084617615
3,0.0,0.0,0.0,1.0,0.25,0.2929170506447256,0.19261585175991058,0.26089224219322205,0.17830084264278412,0.17020553350448608
