,knn,cart,cart_date,rf,Ave,Insample,CRPS,DF_1,DF_0,DF_0.1
0,1.0,0.0,0.0,0.0,0.25,0.25355801388411425,0.13051757,0.12336111,0.16615964,0.13255343
1,0.0,1.0,0.0,0.0,0.25,0.215119061686783,0.11448029,0.05993789,0.09425612,0.06813117
2,0.0,0.0,1.0,0.0,0.25,0.25783307328739474,0.58776724,0.5902654,0.5631329,0.5919785
3,0.0,0.0,0.0,1.0,0.25,0.27348985114170804,0.16723487,0.22643559,0.17645133,0.20733695
