,knn,cart,rf,Ave,Insample,CRPS
0,1.0,0.0,0.0,0.3333333333333333,0.3325327077027162,0.26954117
1,0.0,1.0,0.0,0.3333333333333333,0.3360664401483216,0.47862116
2,0.0,0.0,1.0,0.3333333333333333,0.3314008521489622,0.25183767
