,knn,cart,cart_date,rf,Ave,Insample,CRPS,DF_0.1
0,1.0,0.0,0.0,0.0,0.25,0.28009218049495,0.09441487,0.11100842
1,0.0,1.0,0.0,0.0,0.25,0.23361126299538126,0.0698287,0.088050604
2,0.0,0.0,1.0,0.0,0.25,0.19809428374821733,0.4737622,0.47770315
3,0.0,0.0,0.0,1.0,0.25,0.28820227276145144,0.3619943,0.32323778
