,risk_aversion,Target,Perfect,knn,cart,rf,Ave,invW-0,invW-0.1,invW-1,invW-inf,CRPS,DF_0,DF_0.1,DF_1
0,0.2,2,0,882.8657386697672,708.2739508086433,966.6924802545434,157.5698150059705,155.73068307833128,155.73068307833128,155.73068307833128,152.84447242959905,135.3943811615024,128.930909419341,,
1,0.2,2,0,882.8657386697672,708.2739508086433,966.6924802545434,157.5698150059705,155.73068307833128,155.73068307833128,155.73068307833128,152.84447242959905,135.3943811615024,128.930909419341,,
2,0.2,2,0,-6486.448967515505,-5871.64862012762,-6597.045536347608,-6628.320858031215,-6628.366582185724,-6628.366582185724,-6628.366582185724,-6627.6807198681,-6624.480029052525,-6509.194194152526,-6628.092237258674,-6625.028718906625
