,knn,cart,cart_date,rf,Ave,Insample,CRPS,DF_0
0,1.0,0.0,0.0,0.0,0.25,0.30862374863159514,0.07140109,0.2504033
1,0.0,1.0,0.0,0.0,0.25,0.20612591776381312,0.046015598,0.23402584
2,0.0,0.0,1.0,0.0,0.25,0.17734977348107167,0.4805438,0.26620382
3,0.0,0.0,0.0,1.0,0.25,0.3079005601235201,0.4020395,0.24936703
