,Quantile,risk_aversion,Target,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.01,2,4.442266708184441,4.364039057550287,5.06874461749214,5.076034719875104,4.632397617797607,4.544544276340337,4.441903278980969,4.561537693841847,4.455682478980635,4.440178320230379
1,0.2,0.01,2,4.406360244831229,4.366770131056325,4.65555204030935,5.076034719875104,4.566712093784544,4.566710262226432,4.557242365812437,4.535003668174004,4.465153641636388,4.502484310257372
2,0.3,0.01,2,4.405129781380106,4.376462280423483,4.607980434937862,4.687718869091706,4.477800931756393,4.52676495868344,4.433942547861353,4.535694956827869,4.414261503584518,4.4406396923616684
3,0.4,0.01,2,4.404511061048515,4.343872094659338,4.471166797895011,4.423541204533568,4.451318489574867,4.506803048892927,4.489006415712374,4.524768676748978,4.445546725368662,4.401441663093408
