,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.90906839297404,3.780784587339065,3.787189003142344,3.920499003405558,3.837917925887482,3.800216576579675,,,,,,,,,,
1,0.2,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.9040368346148,3.777460423495005,3.787189003142344,3.832298562096337,3.849893482036688,3.8277400533334975,,,,,,,,,,
2,0.3,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.8955963018883786,3.812077060717568,3.787189003142344,3.826255560863001,3.8209895540953935,3.826772708974769,,,,,,,,,,
3,0.4,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.889316117963216,3.82453702819014,3.787189003142344,3.796619363108099,3.795726100397241,3.807243381899637,,,,,,,,,,
4,0.5,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.8850587843068,3.825545230734509,3.787189003142344,3.792284090447193,3.781399205882563,3.7900436129639177,,,,,,,,,,
5,0.6,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.880608547813997,3.829052214959214,3.787189003142344,3.7933161962115407,3.7894214263954713,3.7961931210095634,,,,,,,,,,
6,0.7,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.8738061594545576,3.8346532099241273,3.787189003142344,3.822864705519424,3.82554185990564,3.824922402299484,,,,,,,,,,
7,0.8,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.867327268451306,3.874616045307059,3.787189003142344,3.8855107764394594,3.862709525078835,3.856041033191513,,,,,,,,,,
8,0.9,0.01,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.85694182231481,3.9313398436892095,3.787189003142344,4.053206396232754,4.031367410133819,3.893681738300152,,,,,,,,,,
9,0.1,0.2,1,4.732625419946205,5.217510802018314,4.269278020278517,4.197955573645768,3.92940134894587,3.90428562849318,3.769155184237833,3.7871890026147743,3.794518788155622,3.7925936119304136,3.789674603527194,3.780027118773405,3.750289756283457,3.807328078240133,4.269278020278517,3.8545545220684376,3.808198433791858,3.827396740500829,3.7918011432157046,3.780156066563271,3.788746247851877
