,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1
0,0.1,0.01,3,1.5482999393771382,1.5018110627923362,2.07810838592242,1.3496030003597947,1.3831944469566582,1.383031782604211,1.336416716990258,1.3318859844630628,1.3459262400180931,1.3379061398707268,1.3365234501745042
1,0.2,0.01,3,2.375112677189945,2.477068761567736,2.966789640426355,2.096274970992246,2.0760531113433,2.075033284205473,2.0477484088236553,2.064618371799778,2.066256306072021,2.0598827827715556,2.0616548055643156
2,0.3,0.01,3,2.9990484571723757,3.1972863068857693,3.385132606892173,2.5982678024356343,2.5471746958686197,2.5415420026705013,2.5725176363200952,2.5637010511029565,2.5454946608842883,2.5826591901408964,2.5484791487730485
3,0.4,0.01,3,3.278235671380653,3.596704520792837,3.5683927768770025,2.8951100697371306,2.8132204000730403,2.808855579556068,2.9505012804910837,2.8499439599489964,2.8505339827172635,2.8227323875994115,2.8481243976522483
4,0.5,0.01,3,3.3671326606438914,3.7791034245723623,3.529649212958551,2.9897864375020733,2.953620271751096,2.93499710799416,3.0332214583714996,2.958433473361541,3.011629729421203,2.953778047943798,2.902020019501913
5,0.6,0.01,3,3.3327121164166624,3.692448679999734,3.3317389050650155,2.888651669459447,2.925771318509971,2.911228717691977,2.9097828158940646,2.8803028176159864,2.8907885102239597,2.889656348048135,2.886860866398419
6,0.7,0.01,3,3.0829824661146517,3.317894756746361,2.90053104451065,2.5962009996626527,2.7066950614728085,2.6901630908110516,2.6218241257180557,2.5854398070618076,2.624635621989388,2.6302189623418095,2.6382082734018812
7,0.8,0.01,3,2.6157988247482793,2.637467895210162,2.3924375611606794,2.1572260234621212,2.209943247396708,2.19661192209215,2.1229631805787164,2.100198231937379,2.173229803338665,2.1458202837401776,2.139084351898068
8,0.9,0.01,3,1.7562328762811954,1.6716325110356818,1.6350160024832767,1.4309627225592956,1.4505228035494402,1.4418210433971737,1.3960472085679696,1.4036070769936682,1.4086329583812238,1.3989664497570113,1.4030675100879493
