,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.01,2,1.7523919045084633,1.9244435710722048,2.218915908304388,1.7459397066762343,1.6776947690162556,1.6836505416432437,1.6557943862239213,1.612390055748519,1.6293643933603927,1.6266564851743648,1.6238177967272065,,,,,,,,,,
1,0.2,0.01,2,2.7720196728051354,3.012707498998343,2.855883003086153,2.6501001828073347,2.4699607583707346,2.463750625729126,2.3778402926702262,2.3774135306181203,2.4130848471475064,2.383129260660373,2.3841749477686305,,,,,,,,,,
2,0.3,0.01,2,3.3727873905008607,3.705201493041512,3.203280521403883,3.223371834551348,2.9023672654577632,2.885971248584503,2.9175298603943904,2.8579271734282514,2.830979348849248,2.8251595605956257,2.8271756560802013,,,,,,,,,,
3,0.4,0.01,2,3.649868236524828,4.051127625081994,3.3357911357597505,3.485522210945202,3.1342456528964084,3.0986880102324434,3.1422059504504616,3.0833929693429507,3.0458463060857754,3.0338909719533294,3.038493194151195,,,,,,,,,,
4,0.5,0.01,2,3.730972815930589,4.07016839467328,3.282124308873233,3.506970225588637,3.217824644345603,3.1681871047779904,3.175757326244475,3.122757003041064,3.091927067938522,3.0983425675667235,3.0901803180896787,,,,,,,,,,
5,0.6,0.01,2,3.612142865367381,3.8617381401071,3.143183737848808,3.327544426457068,3.1187567576435247,3.092234054942052,3.047511027434169,2.9699122892636143,2.9787037682959863,2.977266250192156,2.974386654675977,,,,,,,,,,
6,0.7,0.01,2,3.2920820483878925,3.42698324415939,2.815078659283194,2.963949507216552,2.8323827488364444,2.8015315515305934,2.684973350203696,2.687995172063725,2.6652459881429014,2.66769366258223,2.659188297646454,,,,,,,,,,
7,0.8,0.01,2,2.7117026169468863,2.7259730705864333,2.3108457596237866,2.404574810447702,2.33842268479572,2.3183912133611333,2.1702500822483346,2.190888553518745,2.183075502139091,2.1816068816915184,2.175945263911939,,,,,,,,,,
8,0.9,0.01,2,1.8138552708596123,1.7268706527176931,1.6054834131732283,1.5932610818374726,1.581255024433219,1.5693968535723926,1.4435619285465464,1.4628670754493391,1.4145231719719609,1.413973236489054,1.4378498804418065,,,,,,,,,,
9,0.1,0.2,2,2.047197809630832,2.2728090629476174,2.218313828473838,1.993169809569356,1.8523633907978496,1.8523405756583995,1.785462215139695,1.7829950888072272,1.802951034977026,1.800015959839707,1.780090478189695,1.7891452913815726,1.807393434519116,1.8938701512021687,2.2183138284759303,1.7770358903936805,1.7860046542011945,1.7773319997848,1.782331170718723,1.7840164383751342,1.7850323416157137
