,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.5,1,2.0949350792751718,2.5766623433207023,2.8282075023018707,1.907495948067106,1.711275032119305,1.676561627395853,1.7667753432531248,1.7390868433503188,1.6351529356960013,1.6263265855045597,1.627674780047666,1.818193015097949,1.7768150814244765,1.7020824671602202,1.7227391547602988,1.6749810905930025,1.71804264252539,1.6720551974792195,1.6907555685308324,1.6842871966596007,1.771605013856964
1,0.2,0.5,1,2.352455624228282,2.814165149708515,3.081283210089328,2.122000356934457,1.9335409178823544,1.899875055421275,1.9843051323300311,1.9197359903827766,1.852659709194707,1.851348857282438,1.8334631034710378,1.870071901126063,2.096820111415334,1.8896692344027564,1.9665423550345447,1.882114000398305,1.9586208963949132,1.8714155972733293,1.8992454250380448,1.8850824081173334,1.9406881557574098
2,0.3,0.5,1,2.5436417993547185,2.952999728316514,3.2478812037007017,2.297914547619611,2.0914475226242386,2.0595500906595,2.1559033140156703,2.0681579640810246,2.0171810540300936,2.0107895304685246,2.0079272263159584,2.066237875879764,2.0826466874146505,2.006752859131512,2.0878714521738253,2.0338729534867017,2.0245315117080143,2.0068150212458837,2.0376980331890895,2.0196079469148387,2.0427914499217223
3,0.4,0.5,1,2.669423401095567,3.0608459269419077,3.3082632749439655,2.415179774724575,2.180995845931505,2.1381900478145464,2.260638845913379,2.136083178370805,2.120847312244409,2.121557959485859,2.116988435802769,2.1609943668051117,2.2577800548279354,2.1288793794320413,2.24382028520831,2.1223150409268023,2.2160713878451785,2.1355440932733916,2.0880296016741005,2.1264079138370273,2.6100439517414116
4,0.5,0.5,1,2.7184272285973234,3.094267189268691,3.2690899602024244,2.459911441925578,2.2171744144886043,2.1707767602147303,2.3262484339467626,2.16314546582772,2.177154338114682,2.1692529118513955,2.1728314820486676,2.1861143346806204,2.31116189994574,2.412870842508076,2.367905518918058,2.1412421735746445,2.268379762269579,2.178129614922878,2.234421476193913,2.176904658939556,2.2005592353644783
5,0.6,0.5,1,2.6963667660528023,3.0782381361676885,3.1637208528485963,2.3977016531167497,2.1920465867697336,2.1429201999657708,2.258569347034547,2.1181356512730143,2.204955154332094,2.1864804806786995,2.1526237627569125,2.1547290176912215,2.159724959591595,2.34379203392221,2.414040974633277,2.1382448376945584,2.1792863747443993,2.1296894797113843,2.209530310631524,2.1617116767973616,2.2113872880209806
6,0.7,0.5,1,2.5984139889183786,2.9463572005511023,2.988129214867804,2.319315878594927,2.1225385809108843,2.0762757256865503,2.146195329593698,2.078571410423471,2.133267594729813,2.1314031167663168,2.0960417267004448,2.0604989546289807,2.0484607685170535,2.267758899895622,2.2587066305020445,2.093288003183416,2.091988416135937,2.1220701348159676,2.111390548651311,2.0780746517122375,2.0352582208390846
7,0.8,0.5,1,2.4369686272245934,2.760909742879758,2.7611510521325733,2.1415618312563844,1.9865770034384729,1.9371926509481032,2.021004499928467,1.8880672810009904,1.9873992705331394,1.9806076574036757,1.959336174117083,1.9125488454274517,1.875024489899579,2.0455998708659626,2.385501020804642,1.9218095537002589,2.0425639892143255,1.9308805477665212,2.0007243539057833,1.8902112617002222,1.9672599719450858
