,Quantile,risk_aversion,Target,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.1,0.2,2,1.7891452913815726,1.8073934345191156,1.8938701512021687,2.2183138284759303,1.7770358903936805,1.7860046542011945,1.7773319997848,1.782331170718723,1.7840164383751342,1.7850323416157137
1,0.2,0.2,2,2.2609478172912696,2.2644380582106454,2.507178953897797,2.654188785528285,2.2459722354918923,2.253266320198466,2.237478884682246,2.256683526075332,2.2380907053104977,2.249578954196267
2,0.3,0.2,2,2.542002540755355,2.5251494501735072,2.677709518957918,2.6146711786723604,2.5358121741441675,2.563271483999872,2.5576716260439545,2.5615232366883616,2.549703116253616,2.555053329827686
3,0.4,0.2,2,2.673379232462935,2.675780422263604,2.723128409119647,2.7243257945590926,2.691432128805104,2.6898922770831954,2.6972546574894367,2.70223616369758,2.6790619608018185,2.683087920807241
4,0.5,0.2,2,2.681862742080533,2.692454573569657,2.682639418960396,2.6917954112519795,2.679098007692911,2.707046665337668,2.681759619863905,2.703589360683767,2.677562950572348,2.685781710312147
5,0.6,0.2,2,2.570491830255587,2.5738994738598344,2.5686360064145384,2.562960346033402,2.5853842377764327,2.5789244090455714,2.580302253290474,2.5937823428735816,2.569415910001473,2.5942009740083387
6,0.7,0.2,2,2.3501650446707787,2.3593086329285256,2.365476600662217,2.3640395436875634,2.3659590394074748,2.3720376350704315,2.360186951831494,2.3442052821944057,2.356939361905366,2.348865137896781
7,0.8,0.2,2,2.0081586806563645,2.0215041566738923,2.0373648976741108,2.219765070367164,2.0071354256372533,2.0130237138791225,2.0070047859202846,2.02300127033625,2.0075860798785343,2.0147571464309517
8,0.9,0.2,2,1.5304390313522296,1.5368150096798292,1.735268683960488,1.7352833065010231,1.524785343207386,1.5260153287482314,1.5254717077932423,1.735283192820774,1.5286848292495523,1.528475378106828
