,Quantile,risk_aversion,Target,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1
0,0.1,0.5,1,1.664338000539145,1.9240653197396442,1.6998021921046484,1.5533496768223503,1.4738854005837507,1.4627757831179293,1.4330792668169894,1.4379008379868548,1.4345778224125458,1.430011720332226,1.4364282122468854
1,0.2,0.5,1,1.8979908163018908,2.1910397094781215,1.8898516774655754,1.7673848074277687,1.6624629408005236,1.6456044436998287,1.6098331007029745,1.6105375857158992,1.6056852682482932,1.6041338039567095,1.6153814637547292
2,0.3,0.5,1,2.067856848046688,2.378223038914748,2.018993388491631,1.9105084580794167,1.790374737885209,1.767684734696032,1.7230383489271612,1.7198071271216364,1.7210918511325648,1.715131708945367,1.7125465417531154
3,0.4,0.5,1,2.194187461735718,2.533889011627554,2.0740838386215454,2.002128547552278,1.8610533521255164,1.8296021028868088,1.7798965552983923,1.7713311877709617,1.760145893789658,1.757941180212061,1.7570528533027214
